compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD0352	DAG(18:2/18:3)	NA	NA
CPD0353	DAG(18:2/20:3)	NA	NA
CPD0354	DAG(18:2/20:4)	NA	NA
CPD0355	DAG(18:2/22:4)	NA	NA
CPD0356	DAG(18:2/22:6)	NA	NA
CPD0357	DAG(20:0/20:0)	NA	NA
CPD0359	DCER(14:0)	NA	NA
CPD0360	DCER(16:0)	NA	NA
CPD0361	DCER(18:0)	NA	NA
CPD0362	DCER(18:1)	NA	NA
CPD0363	DCER(20:0)	NA	NA
CPD0364	DCER(20:1)	NA	NA
CPD0365	DCER(22:0)	NA	NA
CPD0366	DCER(22:1)	NA	NA
CPD0367	DCER(24:0)	NA	NA
CPD0368	DCER(24:1)	NA	NA
CPD0369	DCER(26:0)	NA	NA
CPD0370	DCER(26:1)	NA	NA
CPD0392	EDTA	C00284	6049
CPD0406	FFA(12:0)	C02679	NA
CPD0407	FFA(14:0)	C06424	NA
CPD0408	FFA(14:1)	C08322	NA
CPD0409	FFA(15:0)	C16537	NA
CPD0410	FFA(16:0)	C00249	NA
CPD0411	FFA(16:1)	C08362	NA
CPD0412	FFA(17:0)	C17714	NA
CPD0413	FFA(18:0)	C01530	NA
CPD0414	FFA(18:1)	C00712	NA
CPD0415	FFA(18:2)	C01595	NA
CPD0416	FFA(18:3)	C06427	NA
CPD0417	FFA(18:4)	C16300	NA
CPD0418	FFA(20:0)	C06425	NA
CPD0419	FFA(20:1)	C16526	NA
CPD0420	FFA(20:2)	C16525	NA
CPD0421	FFA(20:3)	C03242	NA
CPD0422	FFA(20:4)	C00219	NA
CPD0423	FFA(20:5)	NA	NA
CPD0424	FFA(22:0)	C08281	NA
CPD0425	FFA(22:1)	C08316	NA
CPD0426	FFA(22:2)	C16533	NA
CPD0427	FFA(22:4)	C16527	NA
CPD0428	FFA(22:5)	C16513	NA
CPD0429	FFA(22:6)	C06429	NA
CPD0430	FFA(24:0)	C08320	NA
CPD0431	FFA(24:1)	C08323	NA
CPD0491	HCER(14:0)	NA	NA
CPD0492	HCER(16:0)	NA	NA
CPD0493	HCER(18:0)	NA	NA
CPD0494	HCER(18:1)	NA	NA
CPD0495	HCER(20:0)	NA	NA
CPD0496	HCER(20:1)	NA	NA
CPD0497	HCER(22:0)	NA	NA
CPD0498	HCER(22:1)	NA	NA
CPD0499	HCER(24:0)	NA	NA
CPD0500	HCER(24:1)	NA	NA
CPD0501	HCER(26:0)	NA	NA
CPD0502	HCER(26:1)	NA	NA
CPD0551	LCER(14:0)	NA	NA
CPD0552	LCER(16:0)	NA	NA
CPD0553	LCER(18:0)	NA	NA
CPD0554	LCER(18:1)	NA	NA
CPD0555	LCER(20:0)	NA	NA
CPD0556	LCER(20:1)	NA	NA
CPD0557	LCER(22:0)	NA	NA
CPD0558	LCER(22:1)	NA	NA
CPD0559	LCER(24:0)	NA	NA
CPD0560	LCER(24:1)	NA	NA
CPD0561	LCER(26:0)	NA	NA
CPD0562	LCER(26:1)	NA	NA
CPD0571	LPC(14:0)	NA	NA
CPD0572	LPC(15:0)	NA	NA
CPD0573	LPC(16:0)	C04102	NA
CPD0574	LPC(16:1)	NA	NA
CPD0575	LPC(17:0)	NA	NA
CPD0576	LPC(18:0)	NA	NA
CPD0577	LPC(18:1)	NA	NA
CPD0578	LPC(18:2)	NA	NA
CPD0579	LPC(18:3)	NA	NA
CPD0580	LPC(20:0)	NA	NA
CPD0581	LPC(20:1)	NA	NA
CPD0582	LPC(20:2)	NA	NA
CPD0583	LPC(20:3)	NA	NA
CPD0584	LPC(20:4)	NA	NA
CPD0585	LPC(20:5)	NA	NA
CPD0586	LPC(22:4)	NA	NA
CPD0587	LPC(22:5)	NA	NA
CPD0588	LPC(22:6)	NA	NA
CPD0589	LPE(15:0)	NA	NA
CPD0590	LPE(16:0)	NA	NA
CPD0591	LPE(16:1)	NA	NA
CPD0592	LPE(17:0)	NA	NA
CPD0593	LPE(18:0)	NA	NA
CPD0594	LPE(18:1)	NA	NA
CPD0595	LPE(18:2)	NA	NA
CPD0596	LPE(18:3)	NA	NA
CPD0597	LPE(20:1)	NA	NA
CPD0598	LPE(20:2)	NA	NA
CPD0599	LPE(20:3)	NA	NA
CPD0600	LPE(20:4)	NA	NA
CPD0601	LPE(20:5)	NA	NA
CPD0602	LPE(22:4)	NA	NA
CPD0603	LPE(22:5)	NA	NA
CPD0604	LPE(22:6)	NA	NA
CPD0627	N('1)-acetylspermidine	C00612	496
CPD0628	N-(2-furoyl)glycine	NA	21863
CPD0629	N-acetyl-1-methylhistidine*	NA	193270
CPD0630	N-acetyl-3-methylhistidine*	NA	193270
CPD0631	N-acetyl-aspartyl-glutamate (NAAG)	C12270	5255
CPD0632	N-acetyl-beta-alanine	C01073	76406
CPD0633	N-acetylalanine	C02847	88064
CPD0634	N-acetylalliin	NA	NA
CPD0635	N-acetylarginine	C02562	67427
CPD0636	N-acetylaspartate (NAA)	C01042	65065
CPD0637	N-acetylcarnosine	NA	9903482
CPD0638	N-acetylcitrulline	C15532	656979
CPD0639	N-acetylglucosamine/N-acetylgalactosamine	NA	24139
CPD0640	N-acetylglucosaminylasparagine	C04540	123826
CPD0641	N-acetylglutamate	C00624	70914
CPD0642	N-acetylglutamine	C02716	182230
CPD0643	N-acetylglycine	NA	10972
CPD0644	N-acetylhistidine	C02997	75619
CPD0645	N-acetylisoleucine	NA	2802421
CPD0646	N-acetylkynurenine (2)	NA	NA
CPD0647	N-acetylleucine	C02710	70912
CPD0648	N-acetylmethionine	C02712	448580
CPD0649	N-acetylneuraminate	C00270	439197
CPD0650	N-acetylphenylalanine	C03519	74839
CPD0651	N-acetylproline	NA	322640
CPD0652	N-acetylputrescine	C02714	122356
CPD0653	N-acetylserine	NA	65249
CPD0654	N-acetyltaurine	NA	159864
CPD0655	N-acetylthreonine	NA	152204
CPD0656	N-acetyltryptophan	C03137	700653
CPD0657	N-acetyltyrosine	NA	68310
