compound_id	BIOCHEMICAL	INCHIKEY
CPD00515	4-methylcatechol sulfate	
CPD00564	4-methylguaiacol sulfate	
CPD00810	4-methylhexanoylglutamine	
CPD00479	4-oxo-retinoic acid	4000
CPD00570	4-vinylguaiacol sulfate	
CPD00397	4-vinylphenol sulfate	IETVQHUKTKKBFF-UHFFFAOYAU
CPD00465	5-(galactosylhydroxy)-L-lysine	
CPD00013	5,6-dihydrothymine	NBAKTGXDIBVZOO-UHFFFAOYAR
CPD00338	5,6-dihydrouridine	ZPTBLXKRQACLCR-XVFCMESIBI
CPD00328	5-acetylamino-6-amino-3-methyluracil	POQOTWQIYYNXAT-UHFFFAOYAS
CPD00327	5-acetylamino-6-formylamino-3-methyluracil	RDZNZFGKEVDNPK-UHFFFAOYAL
CPD00428	5alpha-androstan-3alpha,17alpha-diol monosulfate	
CPD00432	5alpha-androstan-3alpha,17beta-diol disulfate	
CPD00433	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	
CPD00558	5alpha-androstan-3alpha,17beta-diol monosulfate (2)	
CPD00434	5alpha-androstan-3beta,17alpha-diol disulfate	
CPD00420	5alpha-androstan-3beta,17beta-diol disulfate	
CPD00435	5alpha-androstan-3beta,17beta-diol monosulfate (2)	
CPD00421	5alpha-pregnan-3beta,20alpha-diol disulfate	
CPD00430	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	
CPD00429	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	
CPD00431	5alpha-pregnan-diol disulfate	LSQGWMYMIHQKSA-UHFFFAOYAD
CPD00285	5-dodecenoate (12:1n7)	IJBFSOLHRKELLR-FPLPWBNLBG
CPD00739	5-dodecenoylcarnitine (C12:1)	
CPD00821	5-hydroxy-2-methylpyridine sulfate	
CPD00269	5-hydroxyhexanoate	YDCRNMJQROAWFT-UHFFFAOYAI
CPD00649	5-hydroxyindole sulfate	
CPD00193	5-hydroxylysine	YSMODUONRAFBET-UHFFFAOYAX
CPD00824	5-hydroxymethyl-2-furoylcarnitine*	
CPD00025	5-methylthioadenosine (MTA)	WUUGFSXJNOTRMR-IOSLPCCCBD
CPD00342	5-methyluridine (ribothymidine)	DWRXFEITVBNRMK-JXOAFFINBW
CPD00123	5-oxoproline	ODHCTXKNWHHXJC-VKHMYHEABY
CPD00780	6-bromotryptophan	
CPD00576	6-hydroxyindole sulfate	
CPD00529	6-oxopiperidine-2-carboxylate	FZXCPFJMYOQZCA-UHFFFAOYAC
CPD00377	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	SATGKQGFUDXGAX-MYWFJNCABU
CPD00345	7-methylguanine	FZWGECJQACGGTI-UHFFFAOYAT
CPD00323	7-methylxanthine	PFWLFWPASULGAN-UHFFFAOYAY
CPD00772	8-methoxykynurenate	BXZSKDOPGDPDEG-UHFFFAOYAJ
CPD00014	9,10-DiHOME	XEBKSQSGNGRGDW-YFHOEESVBC
