compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD000941	N4-acetylcytidine	NA	107461
CPD000547	N6,N6,N6-trimethyllysine	C03793	440120
CPD000548	N6-acetyllysine	C02727	92832
CPD000932	N6-carbamoylthreonyladenosine	NA	161466
CPD000003	N6-carboxymethyllysine	NA	123800
CPD000933	N6-succinyladenosine	NA	165243
CPD000109	O-sulfo-L-tyrosine	NA	514186
CPD000606	PC(12:0/18:1)	NA	.
CPD000607	PC(12:0/18:2)	NA	.
CPD000608	PC(14:0/14:0)	NA	.
CPD000609	PC(14:0/16:1)	NA	.
CPD000610	PC(14:0/18:1)	NA	.
CPD000611	PC(14:0/18:2)	NA	.
CPD000612	PC(14:0/18:3)	NA	.
CPD000613	PC(14:0/20:2)	NA	.
CPD000614	PC(14:0/20:3)	NA	.
CPD000615	PC(14:0/20:4)	NA	.
CPD000616	PC(14:0/20:5)	NA	.
CPD000617	PC(14:0/22:4)	NA	.
CPD000618	PC(14:0/22:5)	NA	.
CPD000619	PC(14:0/22:6)	NA	.
CPD000620	PC(15:0/16:1)	NA	.
CPD000621	PC(15:0/18:1)	NA	.
CPD000622	PC(15:0/18:2)	NA	.
CPD000623	PC(15:0/20:3)	NA	.
CPD000624	PC(15:0/20:4)	NA	.
CPD000625	PC(15:0/20:5)	NA	.
CPD000626	PC(15:0/22:5)	NA	.
CPD000627	PC(15:0/22:6)	NA	.
CPD000628	PC(16:0/12:0)	NA	.
CPD000629	PC(16:0/14:0)	NA	.
CPD000630	PC(16:0/14:1)	NA	.
CPD000631	PC(16:0/16:0)	NA	.
CPD000632	PC(16:0/16:1)	NA	.
CPD000633	PC(16:0/18:0)	NA	.
CPD000634	PC(16:0/18:1)	NA	.
CPD000635	PC(16:0/18:2)	NA	.
CPD000636	PC(16:0/18:3)	NA	.
CPD000637	PC(16:0/18:4)	NA	.
CPD000638	PC(16:0/20:1)	NA	.
CPD000639	PC(16:0/20:2)	NA	.
CPD000640	PC(16:0/20:3)	NA	.
CPD000641	PC(16:0/20:4)	NA	.
CPD000642	PC(16:0/20:5)	NA	.
CPD000643	PC(16:0/22:1)	NA	.
CPD000644	PC(16:0/22:4)	NA	.
CPD000645	PC(16:0/22:5)	NA	.
CPD000646	PC(16:0/22:6)	NA	.
CPD000647	PC(17:0/14:1)	NA	.
CPD000648	PC(17:0/16:1)	NA	.
CPD000649	PC(17:0/18:1)	NA	.
CPD000650	PC(17:0/18:2)	NA	.
CPD000651	PC(17:0/18:3)	NA	.
CPD000652	PC(17:0/20:3)	NA	.
CPD000653	PC(17:0/20:4)	NA	.
CPD000654	PC(17:0/20:5)	NA	.
CPD000655	PC(17:0/22:4)	NA	.
CPD000656	PC(17:0/22:5)	NA	.
CPD000657	PC(17:0/22:6)	NA	.
CPD000658	PC(18:0/12:0)	NA	.
CPD000659	PC(18:0/14:0)	NA	.
CPD000660	PC(18:0/16:1)	NA	.
CPD000661	PC(18:0/18:0)	NA	.
CPD000662	PC(18:0/18:1)	NA	.
CPD000663	PC(18:0/18:2)	NA	.
CPD000664	PC(18:0/18:3)	NA	.
CPD000665	PC(18:0/18:4)	NA	.
CPD000666	PC(18:0/20:0)	NA	.
CPD000667	PC(18:0/20:1)	NA	.
CPD000668	PC(18:0/20:2)	NA	.
CPD000669	PC(18:0/20:3)	NA	.
CPD000670	PC(18:0/20:4)	NA	.
CPD000671	PC(18:0/20:5)	NA	.
CPD000672	PC(18:0/22:4)	NA	.
CPD000673	PC(18:0/22:5)	NA	.
CPD000674	PC(18:0/22:6)	NA	.
CPD000675	PC(18:1/16:1)	NA	.
CPD000676	PC(18:1/18:1)	NA	.
CPD000677	PC(18:1/18:2)	NA	.
CPD000678	PC(18:1/18:3)	NA	.
CPD000679	PC(18:1/20:1)	NA	.
CPD000680	PC(18:1/20:2)	NA	.
CPD000681	PC(18:1/20:3)	NA	.
CPD000682	PC(18:1/20:4)	NA	.
CPD000683	PC(18:1/20:5)	NA	.
