compound_id	chemical_name	analysismode	rt	mz
C000411	1.81_300.0841	RP_POS	1.81	300.0841
C000412	10.54_352.2117	RP_POS	10.54	352.2117
C000413	10.88_453.1731	RP_POS	10.88	453.1731
C000414	5.02_354.0817	RP_POS	5.02	354.0817
C000415	9.36_273.1095	RP_POS	9.36	273.1095
C000416	7.41_260.0449	RP_POS	7.41	260.0449
C000417	4.92_360.2014	RP_POS	4.92	360.2014
C000418	10.78_320.2253	RP_POS	10.78	320.2253
C000419	12.49_618.3847	RP_POS	12.49	618.3847
C000420	2.52_298.0920	RP_POS	2.52	298.092
C000421	12.46_419.1674	RP_POS	12.46	419.1674
C000422	4.60_364.5784	RP_POS	4.6	364.5784
C000423	8.41_469.1681	RP_POS	8.41	469.1681
C000424	4.16_455.0385	RP_POS	4.16	455.0385
C000425	11.30_285.2063	RP_POS	11.3	285.2063
C000426	7.89_268.2018	RP_POS	7.89	268.2018
C000427	9.24_341.1934	RP_POS	9.24	341.1934
C000428	12.53_277.1046	RP_POS	12.53	277.1046
C000429	11.38_169.1045	RP_POS	11.38	169.1045
C000430	1.54_316.1501	RP_POS	1.54	316.1501
C000431	6.29_313.1069	RP_POS	6.29	313.1069
C000432	9.53_437.1781	RP_POS	9.53	437.1781
C000433	6.15_452.2483	RP_POS	6.15	452.2483
C000434	11.13_431.1889	RP_POS	11.13	431.1889
C000435	8.98_380.2063	RP_POS	8.98	380.2063
C000436	10.81_195.6356	RP_POS	10.81	195.6356
C000437	9.59_355.1725	RP_POS	9.59	355.1725
C000438	4.37_196.0461	RP_POS	4.37	196.0461
C000439	4.58_311.0758	RP_POS	4.58	311.0758
C000440	7.80_387.1624	RP_POS	7.8	387.1624
C000441	3.55_267.0433	RP_POS	3.55	267.0433
C000442	6.98_230.1750	RP_POS	6.98	230.175
C000443	3.82_300.0865	RP_POS	3.82	300.0865
C000444	12.00_505.2408	RP_POS	12	505.2408
C000445	5.74_211.1440	RP_POS	5.74	211.144
C000446	3.05_257.1243	RP_POS	3.05	257.1243
C000447	5.97_594.1820	RP_POS	5.97	594.182
C000448	0.89_245.1859	RP_POS	0.89	245.1859
C000449	11.30_391.2452	RP_POS	11.3	391.2452
C000450	1.06_329.1816	RP_POS	1.06	329.1816
C000451	10.64_213.0943	RP_POS	10.64	213.0943
C000452	4.49_260.0950	RP_POS	4.49	260.095
C000453	2.60_122.0236	RP_POS	2.6	122.0236
C000454	10.66_257.1531	RP_POS	10.66	257.1531
C000455	6.03_332.2178	RP_POS	6.03	332.2178
C000456	10.76_260.1678	RP_POS	10.76	260.1678
C000457	10.88_426.0763	RP_POS	10.88	426.0763
C000458	5.28_173.1073	RP_POS	5.28	173.1073
C000459	5.44_128.0788	RP_POS	5.44	128.0788
C000460	5.76_190.1438	RP_POS	5.76	190.1438
C000461	4.76_306.1368	RP_POS	4.76	306.1368
C000462	9.09_335.0602	RP_POS	9.09	335.0602
C000463	2.69_236.0395	RP_POS	2.69	236.0395
C000464	6.09_244.1179	RP_POS	6.09	244.1179
C000465	2.06_244.1543	RP_POS	2.06	244.1543
